"","date","province","at_least_1_dose","double_dose","firstJabs","secondJabs","jabs","eligible_population","population","type","unvaccinated_population","partially_dose"
"1",2020-12-02,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"2",2020-12-03,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"3",2020-12-04,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"4",2020-12-05,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"5",2020-12-06,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"6",2020-12-07,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"7",2020-12-08,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"8",2020-12-09,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"9",2020-12-10,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"10",2020-12-11,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"11",2020-12-12,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"12",2020-12-13,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"13",2020-12-14,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"14",2020-12-15,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"15",2020-12-16,"ab",0,0,NA,NA,NA,3761125,4444277,"data",4444277,0
"16",2020-12-17,"ab",394,0,NA,NA,NA,3761125,4444277,"data",4443883,394
"17",2020-12-18,"ab",394,0,NA,NA,NA,3761125,4444277,"data",4443883,394
"18",2020-12-19,"ab",394,0,NA,NA,NA,3761125,4444277,"data",4443883,394
"19",2020-12-20,"ab",394,0,NA,NA,NA,3761125,4444277,"data",4443883,394
"20",2020-12-21,"ab",2148,0,NA,NA,NA,3761125,4444277,"data",4442129,2148
"21",2020-12-22,"ab",3074,0,NA,NA,NA,3761125,4444277,"data",4441203,3074
"22",2020-12-23,"ab",3636,0,NA,NA,NA,3761125,4444277,"data",4440641,3636
"23",2020-12-24,"ab",4711,0,NA,NA,NA,3761125,4444277,"data",4439566,4711
"24",2020-12-25,"ab",4711,0,NA,NA,NA,3761125,4444277,"data",4439566,4711
"25",2020-12-26,"ab",4711,0,NA,NA,NA,3761125,4444277,"data",4439566,4711
"26",2020-12-27,"ab",4711,0,NA,NA,NA,3761125,4444277,"data",4439566,4711
"27",2020-12-28,"ab",6016,0,NA,NA,NA,3761125,4444277,"data",4438261,6016
"28",2020-12-29,"ab",6502,0,NA,NA,NA,3761125,4444277,"data",4437775,6502
"29",2020-12-30,"ab",8544,0,NA,NA,NA,3761125,4444277,"data",4435733,8544
"30",2020-12-31,"ab",11102,0,NA,NA,NA,3761125,4444277,"data",4433175,11102
"31",2021-01-01,"ab",14244,0,NA,NA,NA,3761125,4444277,"data",4430033,14244
"32",2021-01-02,"ab",14244,0,NA,NA,NA,3761125,4444277,"data",4430033,14244
"33",2021-01-03,"ab",14244,0,NA,NA,NA,3761125,4444277,"data",4430033,14244
"34",2021-01-04,"ab",22861,0,NA,NA,NA,3761125,4444277,"data",4421416,22861
"35",2021-01-05,"ab",26269,0,NA,NA,NA,3761125,4444277,"data",4418008,26269
"36",2021-01-06,"ab",30033,0,NA,NA,NA,3761125,4444277,"data",4414244,30033
"37",2021-01-07,"ab",33864,0,NA,NA,NA,3761125,4444277,"data",4410413,33864
"38",2021-01-08,"ab",37686,0,NA,NA,NA,3761125,4444277,"data",4406591,37686
"39",2021-01-09,"ab",42333,0,NA,NA,NA,3761125,4444277,"data",4401944,42333
"40",2021-01-10,"ab",44994,0,NA,NA,NA,3761125,4444277,"data",4399283,44994
"41",2021-01-11,"ab",46791,0,NA,NA,NA,3761125,4444277,"data",4397486,46791
"42",2021-01-12,"ab",52318,0,NA,NA,NA,3761125,4444277,"data",4391959,52318
"43",2021-01-13,"ab",58144,0,NA,NA,NA,3761125,4444277,"data",4386133,58144
"44",2021-01-14,"ab",66953,0,NA,NA,NA,3761125,4444277,"data",4377324,66953
"45",2021-01-15,"ab",74110,0,NA,NA,NA,3761125,4444277,"data",4370167,74110
"46",2021-01-16,"ab",81561,0,NA,NA,NA,3761125,4444277,"data",4362716,81561
"47",2021-01-17,"ab",85935,0,NA,NA,NA,3761125,4444277,"data",4358342,85935
"48",2021-01-18,"ab",89814,0,NA,NA,NA,3761125,4444277,"data",4354463,89814
"49",2021-01-19,"ab",92315,0,NA,NA,NA,3761125,4444277,"data",4351962,92315
"50",2021-01-20,"ab",87971,7272,NA,NA,NA,3761125,4444277,"data",4356306,80699
"51",2021-01-21,"ab",89234,7272,NA,NA,NA,3761125,4444277,"data",4355043,81962
"52",2021-01-22,"ab",90513,7272,NA,NA,NA,3761125,4444277,"data",4353764,83241
"53",2021-01-23,"ab",91535,7272,NA,NA,NA,3761125,4444277,"data",4352742,84263
"54",2021-01-24,"ab",91775,7272,NA,NA,NA,3761125,4444277,"data",4352502,84503
"55",2021-01-25,"ab",89577,9876,NA,NA,NA,3761125,4444277,"data",4354700,79701
"56",2021-01-26,"ab",89640,10174,NA,NA,NA,3761125,4444277,"data",4354637,79466
"57",2021-01-27,"ab",89761,11362,NA,NA,NA,3761125,4444277,"data",4354516,78399
"58",2021-01-28,"ab",89852,12672,NA,NA,NA,3761125,4444277,"data",4354425,77180
"59",2021-01-29,"ab",89975,14352,NA,NA,NA,3761125,4444277,"data",4354302,75623
"60",2021-01-30,"ab",90104,15648,NA,NA,NA,3761125,4444277,"data",4354173,74456
"61",2021-01-31,"ab",90136,16118,NA,NA,NA,3761125,4444277,"data",4354141,74018
"62",2021-02-01,"ab",90138,16209,NA,NA,NA,3761125,4444277,"data",4354139,73929
"63",2021-02-02,"ab",90247,17191,NA,NA,NA,3761125,4444277,"data",4354030,73056
"64",2021-02-03,"ab",90371,18970,NA,NA,NA,3761125,4444277,"data",4353906,71401
"65",2021-02-04,"ab",90594,21794,NA,NA,NA,3761125,4444277,"data",4353683,68800
"66",2021-02-05,"ab",90798,23268,NA,NA,NA,3761125,4444277,"data",4353479,67530
"67",2021-02-06,"ab",91176,25540,NA,NA,NA,3761125,4444277,"data",4353101,65636
"68",2021-02-07,"ab",91336,27048,NA,NA,NA,3761125,4444277,"data",4352941,64288
"69",2021-02-08,"ab",91366,28991,NA,NA,NA,3761125,4444277,"data",4352911,62375
"70",2021-02-09,"ab",91635,32690,NA,NA,NA,3761125,4444277,"data",4352642,58945
"71",2021-02-10,"ab",92453,36999,NA,NA,NA,3761125,4444277,"data",4351824,55454
"72",2021-02-11,"ab",93413,42162,NA,NA,NA,3761125,4444277,"data",4350864,51251
"73",2021-02-12,"ab",94479,45910,NA,NA,NA,3761125,4444277,"data",4349798,48569
"74",2021-02-13,"ab",94948,49166,NA,NA,NA,3761125,4444277,"data",4349329,45782
"75",2021-02-14,"ab",94986,50855,NA,NA,NA,3761125,4444277,"data",4349291,44131
"76",2021-02-15,"ab",94992,51611,NA,NA,NA,3761125,4444277,"data",4349285,43381
"77",2021-02-16,"ab",95114,54024,NA,NA,NA,3761125,4444277,"data",4349163,41090
"78",2021-02-17,"ab",95462,56594,NA,NA,NA,3761125,4444277,"data",4348815,38868
"79",2021-02-18,"ab",96858,58674,NA,NA,NA,3761125,4444277,"data",4347419,38184
"80",2021-02-19,"ab",98904,61519,NA,NA,NA,3761125,4444277,"data",4345373,37385
"81",2021-02-20,"ab",101645,63882,NA,NA,NA,3761125,4444277,"data",4342632,37763
"82",2021-02-21,"ab",103084,66357,NA,NA,NA,3761125,4444277,"data",4341193,36727
"83",2021-02-22,"ab",104177,69362,NA,NA,NA,3761125,4444277,"data",4340100,34815
"84",2021-02-23,"ab",107037,73718,NA,NA,NA,3761125,4444277,"data",4337240,33319
